,순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,year
0,1,윤석민,KIA,2.45,27,17,5,1,0,0.773,172 1/3,137,10,44,6,178,53,47,1.05,2011
1,2,니퍼트,두산,2.55,29,15,6,0,0,0.714,187,150,8,64,10,150,61,53,1.14,2011
2,3,김선우,두산,3.13,28,16,7,1,0,0.696,175 2/3,188,12,35,6,89,68,61,1.27,2011
3,4,장원준,롯데,3.14,29,15,6,0,0,0.714,180 2/3,195,7,62,9,129,72,63,1.42,2011
4,5,윤성환,삼성,3.54,24,14,5,0,0,0.737,137 1/3,151,8,30,3,83,62,54,1.32,2011
5,6,주키치,LG,3.60,32,10,8,1,0,0.556,187 2/3,174,9,53,1,150,86,75,1.21,2011
6,7,차우찬,삼성,3.69,24,10,6,0,0,0.625,148 2/3,156,22,62,3,114,75,61,1.47,2011
7,8,리즈,LG,3.88,30,11,13,0,0,0.458,164 2/3,149,11,84,15,122,79,71,1.41,2011
8,9,사도스키,롯데,3.91,25,11,8,0,0,0.579,140 1/3,130,15,52,6,79,64,61,1.30,2011
9,10,로페즈,KIA,3.98,26,11,9,1,0,0.550,153 2/3,153,14,26,9,106,71,68,1.16,2011
10,11,송승준,롯데,4.18,30,13,10,0,0,0.565,172 1/3,181,17,59,7,126,84,80,1.39,2011
11,12,박현준,LG,4.18,29,13,10,0,0,0.565,163 2/3,153,13,68,11,137,88,76,1.35,2011
12,13,고원준,롯데,4.19,36,9,7,2,0,0.563,152 2/3,163,15,59,6,85,77,71,1.45,2011
13,14,양훈,한화,4.28,27,6,10,0,0,0.375,143,145,15,60,5,110,75,68,1.43,2011
14,15,나이트,넥센,4.70,30,7,15,0,0,0.318,172 1/3,169,12,98,12,115,98,90,1.55,2011
15,16,안승민,한화,5.89,29,7,9,0,0,0.438,139,177,22,30,8,90,101,91,1.49,2011
16,1,나이트,넥센,2.20,30,16,4,0,0,0.800,208 2/3,180,6,53,7,102,60,51,1.12,2012
17,2,노경은,두산,2.53,42,12,6,0,7,0.667,146,106,6,69,8,133,46,41,1.20,2012
18,3,유먼,롯데,2.55,29,13,7,0,1,0.650,179 2/3,156,10,56,1,142,58,51,1.18,2012
19,4,서재응,KIA,2.59,29,9,8,0,0,0.529,160,143,7,51,7,97,51,46,1.21,2012
20,5,류현진,한화,2.66,27,9,9,0,0,0.500,182 2/3,153,12,46,5,210,58,54,1.09,2012
21,6,김진우,KIA,2.90,24,10,5,0,0,0.667,133 2/3,110,2,50,10,101,47,43,1.20,2012
22,7,이용찬,두산,3.00,26,10,11,0,0,0.476,162,154,5,63,6,113,58,54,1.34,2012
23,8,윤석민,KIA,3.12,28,9,8,0,0,0.529,153,120,9,33,8,137,60,53,1.00,2012
24,9,니퍼트,두산,3.20,29,11,10,0,0,0.524,194,156,15,68,8,126,70,69,1.15,2012
25,10,배영수,삼성,3.21,26,12,8,0,0,0.600,160,159,7,39,3,89,64,57,1.24,2012
26,11,밴헤켄,넥센,3.28,28,11,8,0,0,0.579,170,166,16,60,3,132,68,62,1.33,2012
